,quality,comb,mean,min,max,quantile 0.25,quantile 0.50,quantile 0.75,nr of experiments
0,bad,4,119.19823239022848,5.787848950384888,5684.403813080234,10.180311996284907,15.138289880137513,27.6315518697266,126
1,bad,5,11.624605324149933,5.879433624676373,64.97809025406664,7.772081597168641,9.850806141508073,11.995680973785413,126
2,bad,6,9.095561655520722,5.713052240448439,32.022762570877376,6.865848028296631,7.9792082657313195,10.295054631865543,84
3,bad,7,8.012422727397459,5.739165720198973,13.272346198752716,6.839486455050571,7.074149692988083,9.527993698373363,36
4,bad,8,7.386364424695922,6.724662200908901,10.614228342750044,6.8126633191450265,6.9060729241975585,7.144752626969996,9
5,bad,9,6.8285802841659695,6.8285802841659695,6.8285802841659695,6.8285802841659695,6.8285802841659695,6.8285802841659695,1
6,good,4,10.823739548529394,0.49873617248157137,132.43985452383765,5.243161519895825,8.120430191356794,11.04044970345527,107
7,good,5,7.490561192934465,1.6926897702598573,21.07715799509086,4.782139705582511,7.308507793737794,8.649555574922578,122
8,good,6,7.030045339079015,3.502172592353819,17.6211588847242,5.16282494076389,7.290765269689674,8.038587477780668,84
9,good,7,6.852557865565206,4.0193369610697385,9.469150226111164,6.4425484038603535,7.241901483051696,7.750009573634712,36
10,good,8,6.913205440831441,4.896620892573642,7.922154392210078,6.717120797936108,7.108941519542461,7.329857003327821,9
11,good,9,7.062617217627852,7.062617217627852,7.062617217627852,7.062617217627852,7.062617217627852,7.062617217627852,1
12,overall,4,116.59988603410794,5.386625415514878,5684.403813080234,9.859831110312728,13.1240103376775,24.873002272366985,126
13,overall,5,10.507539907517767,5.682539121813131,55.67940377471739,7.649962605968686,8.96865004630619,10.237705598104005,126
14,overall,6,8.332507482415295,6.363557151095247,28.103975784482284,7.148201014220626,7.742447107952568,8.939982937565958,84
15,overall,7,7.551823742716802,6.491038567840454,9.870412010866659,6.849166576488806,7.263625584101807,7.750973912441384,36
16,overall,8,7.201393763838357,6.754538811261956,8.60810280586033,6.862332103143693,7.05811628421532,7.27966538984541,9
17,overall,9,6.94559875089691,6.94559875089691,6.94559875089691,6.94559875089691,6.94559875089691,6.94559875089691,1
